gene,guide,condition,n_cells,self_log2fc
STOM,STOM_1,Control,44,-0.3398960650508793
GPATCH4,GPATCH4_2,Control,36,-1.0257561609678607
TIMP3,TIMP3_2,Control,31,-1.6511428953617975
RB1,RB1_1,Control,62,-1.4672056321918803
DAG1,DAG1_2,Control,44,-1.0696020962961172
SDCBP,SDCBP_1,Control,58,-1.1380920701872739
FMN1,FMN1_1,Control,45,-1.0330290830173379
CTSB,CTSB_2,Control,50,-1.932421405323425
TIMP2,TIMP2_3,Control,38,-0.7608103431106172
CDK6,CDK6_3,Control,14,-1.5483475460981315
LRPAP1,LRPAP1_1,Control,46,-1.6732740830538857
SHMT2,SHMT2_3,Control,54,-0.926967472768095
CTSL,CTSL_3,Control,38,-1.3844864982232374
NGFR,NGFR_3,Control,28,-0.05892819809246811
ISYNA1,ISYNA1_1,Control,37,-0.6632964233999529
ROMO1,ROMO1_3,Control,11,-0.13265081970655224
DLL3,DLL3_2,Control,41,-0.16538745065936716
PSMB8-AS1,PSMB8-AS1_1,Control,42,-1.2228853292900628
CTSL,CTSL_1,Control,56,-1.0804129122234127
SINHCAF,SINHCAF_2,Control,24,-0.39635861338222594
SLC26A2,SLC26A2_2,Control,41,-1.1679484211641384
GPNMB,GPNMB_3,Control,30,-2.6105155740503867
APOD,APOD_1,Control,30,-0.1700208578456239
CGAS,CGAS_3,Control,42,-1.5308729458013868
LCP1,LCP1_1,Control,55,-0.6346571775618343
SMAD4,SMAD4_3,Control,41,-1.4996846890420463
ATP5MD,ATP5MD_3,Control,64,-0.6069589265241452
SSR2,SSR2_1,Control,27,-1.0059770312649488
ACSL3,ACSL3_2,Control,25,-0.2744391066892073
LAMP2,LAMP2_1,Control,46,-1.0048245124228823
LGALS3BP,LGALS3BP_2,Control,33,-0.8145999826154415
UQCRH,UQCRH_3,Control,25,-0.2816083288571492
CCND2,CCND2_2,Control,30,-0.08751358955133781
GPI,GPI_2,Control,10,-1.0921117022582034
PAICS,PAICS_3,Control,20,-1.592587224097781
NOLC1,NOLC1_2,Control,10,-0.6675694351128761
CXCR4,CXCR4_3,Control,24,-0.08751358955133781
GRN,GRN_3,Control,28,-1.3116842046914157
CD47,CD47_2,Control,23,-0.09553028312083292
FRZB,FRZB_2,Control,44,0.9448723155149529
TRIM22,TRIM22_1,Control,43,-0.24806372853245146
WBP2,WBP2_1,Control,49,-1.0003606007404695
ROMO1,ROMO1_2,Control,15,-0.5622103146601686
EMP1,EMP1_1,Control,47,-0.280465971727888
FOS,FOS_1,Control,36,-2.7908147452622
CST3,CST3_3,Control,19,-1.499989569930834
APOD,APOD_2,Control,41,-0.1700208578456239
SMAD3,SMAD3_2,Control,58,-0.7588080032809693
CTPS1,CTPS1_2,Control,27,-0.7897593099601463
SLIRP,SLIRP_1,Control,22,-0.6460857518127125
PET100,PET100_3,Control,20,-0.2470704874211486
HLA-C,HLA-C_2,Control,20,-1.9973221549727183
TOP1MT,TOP1MT_2,Control,38,-0.6226593935361202
TIMP2,TIMP2_2,Control,22,-0.9251544487880721
CCT3,CCT3_3,Control,11,-1.3047019726315574
ATP1B1,ATP1B1_1,Control,53,-1.6449874325232876
IRF4,IRF4_3,Control,16,0.0
HSPA1A,HSPA1A_1,Control,52,-0.7567389313024298
EVA1A,EVA1A_1,Control,34,-0.12792968253044223
CKS1B,CKS1B_1,Control,41,-1.3630781993805543
XAGE1A,XAGE1A_1,Control,40,-0.29784138881359057
CTSA,CTSA_1,Control,59,-1.3972200477268342
EIF4A1,EIF4A1_1,Control,15,-0.8854302650221585
SNRPG,SNRPG_2,Control,13,-0.34438894474335513
ST3GAL6-AS1,ST3GAL6-AS1_1,Control,17,-0.64416674141262
PABPC1,PABPC1_1,Control,18,-1.1074167733350286
SAE1,SAE1_1,Control,10,0.4299796479484985
CHCHD2,CHCHD2_3,Control,33,-0.821792467626984
TIMM50,TIMM50_1,Control,19,-0.6674892548034296
MYC,MYC_2,Control,11,0.46632848189617077
CCND2,CCND2_3,Control,32,-0.08751358955133781
SPINT1,SPINT1_1,Control,34,-0.8583676871539971
HASPIN,HASPIN_3,Control,24,-1.9779234086330928
EEA1,EEA1_3,Control,28,-0.6877657269620989
CTPS1,CTPS1_1,Control,12,-0.658432480249343
TIMP1,TIMP1_1,Control,53,-0.14910173737321597
CDK6,CDK6_2,Control,16,-1.9773706829007953
NPC1,NPC1_3,Control,44,-0.021170901213467687
UBC,UBC_1,Control,25,0.6998673475583854
S100B,S100B_1,Control,40,2.368165486920645
DNMT1,DNMT1_1,Control,25,-0.8984977905740988
FRZB,FRZB_1,Control,50,-1.1159416929533652
SERPINA3,SERPINA3_3,Control,26,-0.029764950149690127
PRELID3B,PRELID3B_2,Control,15,-1.119639272542403
SGK1,SGK1_1,Control,28,-0.5787582855600726
NPC2,NPC2_1,Control,36,-0.4021541737024892
LAMP2,LAMP2_2,Control,47,-1.3152730565798245
NDUFA13,NDUFA13_3,Control,31,-0.686575285919294
LRPAP1,LRPAP1_3,Control,32,-1.686569720850545
MT2A,MT2A_2,Control,35,-0.37450495052136196
BOLA2B,BOLA2B_2,Control,26,-2.4872084785609037
ACSL3,ACSL3_3,Control,23,-0.6592457041032385
SLC19A1,SLC19A1_3,Control,34,-0.10192815887082597
PFDN4,PFDN4_2,Control,24,-0.5357822469424328
TIMM50,TIMM50_2,Control,11,0.005093323023345139
LY96,LY96_2,Control,39,-1.2859109223627359
DDR1,DDR1_2,Control,37,-0.46280145855879373
TMED10,TMED10_1,Control,13,-0.5643461763299193
RNF213,RNF213_3,Control,41,-0.283832048494829
FKBP4,FKBP4_1,Control,28,-1.8161908473973298
HLA-E,HLA-E_1,Control,32,-0.6059657712287528
STAT1,STAT1_1,Control,40,-0.9274003618254502
SMAD4,SMAD4_1,Control,52,-2.949708709028463
CDK6,CDK6_1,Control,21,-0.44103138286817894
STAT3,STAT3_1,Control,36,-2.2748227202099893
GSEC,GSEC_3,Control,20,-0.6545620163879843
LY96,LY96_3,Control,22,-1.2859109223627359
NDUFA13,NDUFA13_2,Control,20,-1.3176823182332973
SLC25A13,SLC25A13_2,Control,24,-1.2901565190969335
C6orf226,C6orf226_2,Control,36,-3.833691984615454
BOLA2B,BOLA2B_1,Control,24,0.45934797077750106
P2RX4,P2RX4_1,Control,18,-2.3815187065055534
SINHCAF,SINHCAF_1,Control,15,-0.32585159934695146
SAE1,SAE1_3,Control,10,-0.35524279164544703
HLA-B,HLA-B_3,Control,19,-0.15372281181652545
SET,SET_3,Control,14,-2.5771152496301233
PFN1,PFN1_2,Control,21,-1.0186468560166961
CST3,CST3_1,Control,24,-1.0722913995314318
TMED10,TMED10_2,Control,11,-1.4498186627692822
UQCRH,UQCRH_2,Control,18,-0.8491745516196992
PAICS,PAICS_1,Control,13,-1.0253747294179705
HLA-DRB5,HLA-DRB5_3,Control,17,0.0
HASPIN,HASPIN_2,Control,13,1.822988376595428
RNASEH2A,RNASEH2A_2,Control,21,-1.5241245004700246
UQCRFS1,UQCRFS1_2,Control,10,-0.6344702049050277
MYC,MYC_3,Control,11,-0.2169941874880371
CSPG4,CSPG4_3,IFNγ,77,-0.2538665588497201
STAT3,STAT3_2,IFNγ,90,-0.8019376359560298
EMP1,EMP1_3,IFNγ,79,-0.12947275499446276
STAT1,STAT1_2,IFNγ,61,-1.8682949934271178
SLC5A3,SLC5A3_2,IFNγ,76,-0.26466442240707916
CYP27A1,CYP27A1_2,IFNγ,75,-1.3142419123102576
GSEC,GSEC_3,IFNγ,24,0.36793726095882684
E2F1,E2F1_3,IFNγ,67,-0.6903821940756275
CKS1B,CKS1B_2,IFNγ,94,-1.4147318791175707
C19orf48,C19orf48_1,IFNγ,97,-0.43471671301536996
CTPS1,CTPS1_1,IFNγ,30,-0.5168482216770381
BZW2,BZW2_2,IFNγ,77,-1.1120626377998064
NMRK1,NMRK1_2,IFNγ,72,-0.16860632989146135
LGALS3BP,LGALS3BP_1,IFNγ,98,-0.38407278026446967
RTP4,RTP4_2,IFNγ,95,0.3144827612879955
NSG1,NSG1_2,IFNγ,59,0.06328040526593773
CTSD,CTSD_3,IFNγ,97,-1.6144087767917596
SLC26A2,SLC26A2_1,IFNγ,62,-0.44366792319684945
GAA,GAA_2,IFNγ,65,-0.3455777949512189
SLC26A2,SLC26A2_2,IFNγ,74,-0.8066075629932887
SPESP1,SPESP1_1,IFNγ,61,0.22854389368486802
TMEM173,TMEM173_2,IFNγ,71,-1.4177669419274066
CDK6,CDK6_2,IFNγ,27,-1.296284022485205
IRF4,IRF4_1,IFNγ,60,-0.02501572118420657
SLIRP,SLIRP_2,IFNγ,47,-0.34616338806990316
CDKN1A,CDKN1A_2,IFNγ,78,0.2012168922453095
SLC25A13,SLC25A13_1,IFNγ,103,-0.17236379368687565
SMAD4,SMAD4_2,IFNγ,68,-0.7368057659608214
PTMA,PTMA_1,IFNγ,55,-1.8432629999824564
SAT1,SAT1_3,IFNγ,47,0.6737662518493088
TGFB1,TGFB1_3,IFNγ,75,-2.2683963673945726
S100B,S100B_3,IFNγ,102,-0.07378231726870879
ACSL3,ACSL3_3,IFNγ,36,-0.9847015509857747
LAMP2,LAMP2_2,IFNγ,85,-1.0699598863821311
IFNGR2,IFNGR2_2,IFNγ,106,-0.9108106807391101
PET100,PET100_1,IFNγ,43,-0.6867000773071841
FMN1,FMN1_3,IFNγ,124,0.20764645714091132
STAT1,STAT1_1,IFNγ,66,-2.1009795531805397
CORO1A,CORO1A_3,IFNγ,68,-0.13611182773464311
SGK1,SGK1_3,IFNγ,78,-0.0920575731872432
CDK4,CDK4_3,IFNγ,84,-1.2141938611592833
STX7,STX7_2,IFNγ,81,-0.24665488652064113
CHCHD2,CHCHD2_1,IFNγ,78,-0.7963587475363907
CCND2,CCND2_1,IFNγ,77,0.0
GAA,GAA_1,IFNγ,66,-2.4989011873493117
BOLA2,BOLA2_3,IFNγ,59,-0.0975610685547275
JMJD7,JMJD7_1,IFNγ,106,0.0
FOXM1,FOXM1_3,IFNγ,39,-0.5726388103275258
PYGB,PYGB_2,IFNγ,35,-0.6025206428282802
IDI2-AS1,IDI2-AS1_1,IFNγ,79,-0.04960506308996055
NCL,NCL_3,IFNγ,31,-0.6219529938735008
SLC22A18,SLC22A18_2,IFNγ,111,-1.5484746773710851
TFAP2A,TFAP2A_3,IFNγ,69,-0.5540801872345583
CGAS,CGAS_2,IFNγ,72,-0.45977409452429613
ITGA3,ITGA3_2,IFNγ,75,-1.3112711961889292
AHNAK,AHNAK_2,IFNγ,84,-1.1160061054810677
VAT1,VAT1_2,IFNγ,48,-1.0272449652927893
C19orf48,C19orf48_3,IFNγ,95,-0.25254359843958424
EVA1A,EVA1A_2,IFNγ,58,-0.3262517671233707
CD47,CD47_1,IFNγ,83,-0.8857730151244281
ITGA3,ITGA3_1,IFNγ,72,-1.1191679997470971
DAG1,DAG1_1,IFNγ,49,-0.8939124901425274
NGFR,NGFR_3,IFNγ,39,-0.18894047379150988
SDCBP,SDCBP_2,IFNγ,73,-2.0697658944713817
DAG1,DAG1_3,IFNγ,72,-0.7776001262528407
TFAP2A,TFAP2A_1,IFNγ,68,-0.7316264564240597
TRIM22,TRIM22_2,IFNγ,73,-0.4691736480892488
S100B,S100B_2,IFNγ,58,2.0482477559391294
APOD,APOD_3,IFNγ,88,-0.12095424090673641
TP53,TP53_1,IFNγ,80,-0.4665970825719345
TIMP1,TIMP1_3,IFNγ,76,-2.1197554967603867
PYGB,PYGB_1,IFNγ,77,-0.8745227441453357
NONO,NONO_2,IFNγ,48,-1.5785119099901068
MFGE8,MFGE8_3,IFNγ,108,-0.7849366772631169
VDAC2,VDAC2_1,IFNγ,83,-2.0256859332060917
GRN,GRN_1,IFNγ,85,-1.2539749488302399
PFN1,PFN1_3,IFNγ,31,-0.28027929552761266
LINC00518,LINC00518_2,IFNγ,74,-0.04960506308996055
SCARB2,SCARB2_1,IFNγ,57,-1.5145805457482806
DLL3,DLL3_3,IFNγ,91,-0.21783061191875638
CGAS,CGAS_3,IFNγ,72,-1.7467873715634494
IRF4,IRF4_3,IFNγ,52,-0.02501572118420657
HLA-A,HLA-A_3,IFNγ,103,-0.08823414324768
TXNDC17,TXNDC17_1,IFNγ,59,-0.5806597408374702
CORO1A,CORO1A_1,IFNγ,81,-1.4680977773090385
HSPA1A,HSPA1A_1,IFNγ,64,-1.335047757001711
NT5E,NT5E_3,IFNγ,95,-0.7865489840506016
CTSB,CTSB_3,IFNγ,73,-1.2786966249062883
AHNAK,AHNAK_1,IFNγ,58,-0.35420561801459466
TFAP2A,TFAP2A_2,IFNγ,81,0.10347860693320081
CD59,CD59_1,IFNγ,88,-1.2733647876750565
CDKN2B,CDKN2B_2,IFNγ,101,0.6341524373754666
EIF3K,EIF3K_2,IFNγ,69,-1.0586357871246659
TPP1,TPP1_2,IFNγ,85,-0.8099775312948686
HASPIN,HASPIN_1,IFNγ,46,-1.7339068867054006
SPESP1,SPESP1_3,IFNγ,94,0.09831938105336567
GAA,GAA_3,IFNγ,80,-0.0806912100700218
DDX17,DDX17_2,IFNγ,70,-0.2751819371130358
LY96,LY96_1,IFNγ,108,-0.9406582097389184
PABPC1,PABPC1_1,IFNγ,24,-0.6861591092328022
IDI2-AS1,IDI2-AS1_3,IFNγ,88,-0.04960506308996055
EEA1,EEA1_2,IFNγ,58,-0.523693556435074
SLC22A18,SLC22A18_1,IFNγ,119,-0.5171505782050119
SLC25A13,SLC25A13_2,IFNγ,62,-1.1491667176780573
IRF3,IRF3_3,IFNγ,66,-0.4347844706504283
FSTL3,FSTL3_3,IFNγ,69,-0.7319766691454456
TRIM22,TRIM22_1,IFNγ,52,-2.44009826146399
ACTA2,ACTA2_1,IFNγ,88,-1.4680977773090385
JPT1,JPT1_1,IFNγ,53,-2.1264950367660513
LAMP2,LAMP2_3,IFNγ,68,-2.037447114728765
CDKN2A,CDKN2A_2,IFNγ,101,1.8714359837453023
PET100,PET100_3,IFNγ,36,-0.30598868252939465
MC1R,MC1R_2,IFNγ,81,0.5279377999838396
GSEC,GSEC_1,IFNγ,46,0.42902076328158745
CDH19,CDH19_3,IFNγ,65,-0.02501572118420657
TIMP1,TIMP1_2,IFNγ,62,-0.5442749686015209
ST6GALNAC2,ST6GALNAC2_1,IFNγ,69,-0.14397413959181968
PYGB,PYGB_3,IFNγ,65,-1.5003895356526553
TIMP3,TIMP3_1,IFNγ,52,-1.1251181079308703
S100A6,S100A6_2,IFNγ,49,-1.0283968997002668
UQCRH,UQCRH_2,IFNγ,28,-0.7709472417009307
DNMT1,DNMT1_3,IFNγ,24,-0.5462406834077722
GPNMB,GPNMB_3,IFNγ,44,-1.7933548766626228
C6orf226,C6orf226_1,IFNγ,60,-0.984316027997561
FKBP4,FKBP4_3,IFNγ,60,-1.7745600596059397
CMSS1,CMSS1_3,IFNγ,96,-1.6778466011634863
NME1,NME1_1,IFNγ,59,-0.5456976349645983
RBP7,RBP7_2,IFNγ,83,-0.29558214076599176
NOLC1,NOLC1_3,IFNγ,39,-1.148342678402672
TXNDC17,TXNDC17_3,IFNγ,82,-1.7655292956738986
CTSA,CTSA_3,IFNγ,67,-1.812050022645254
ATP1B1,ATP1B1_2,IFNγ,90,-0.6292784382594344
ENPP1,ENPP1_1,IFNγ,112,-1.0748901125516461
TXNDC17,TXNDC17_2,IFNγ,60,-0.9797914657131236
TTLL1,TTLL1_2,IFNγ,58,-1.2198960036669564
CD63,CD63_2,IFNγ,55,-1.8601826735089357
S100A6,S100A6_3,IFNγ,90,-0.5205180465150943
ST6GALNAC2,ST6GALNAC2_2,IFNγ,82,-0.14397413959181968
PTMA,PTMA_3,IFNγ,62,-1.0862758493750841
LRPAP1,LRPAP1_2,IFNγ,109,-1.532475294193548
CDC123,CDC123_2,IFNγ,66,-0.14179451734338744
NOLC1,NOLC1_2,IFNγ,20,-0.11075835012717018
RB1,RB1_3,IFNγ,74,-2.317913870096635
SAT1,SAT1_1,IFNγ,78,0.3262445786171065
KDR,KDR_1,IFNγ,88,-1.9254392243389358
CD47,CD47_2,IFNγ,48,-0.8823349696182683
C6orf226,C6orf226_3,IFNγ,62,-0.6082746064527115
CHCHD2,CHCHD2_2,IFNγ,105,-0.8966872457616291
TSC22D3,TSC22D3_3,IFNγ,81,-0.3850048815620614
HLA-F,HLA-F_2,IFNγ,80,-0.6132790522860172
TM4SF1,TM4SF1_2,IFNγ,56,-0.3203252054149557
JAK1,JAK1_3,IFNγ,62,-1.8513775010122027
A2M,A2M_2,IFNγ,79,-0.23254754358296692
FBXO32,FBXO32_2,IFNγ,88,-0.530030368288712
IDH2,IDH2_3,IFNγ,86,-3.3968301192116157
TAPBPL,TAPBPL_1,IFNγ,55,0.10983239405476682
NMRK1,NMRK1_3,IFNγ,74,-0.1764962102225454
FGFR1,FGFR1_2,IFNγ,80,-1.025486843925559
SMAD4,SMAD4_1,IFNγ,80,-0.5277496253348097
EEF1G,EEF1G_2,IFNγ,24,-1.5041280747052992
RB1,RB1_2,IFNγ,75,-0.44635134353141115
NEAT1,NEAT1_2,IFNγ,66,-0.493211754442513
HASPIN,HASPIN_3,IFNγ,34,0.9244903394031299
PFDN4,PFDN4_1,IFNγ,105,-0.08390607568176114
TPP1,TPP1_1,IFNγ,56,-2.4234993566657344
ACSL3,ACSL3_2,IFNγ,42,-1.817171739771961
CDK6,CDK6_1,IFNγ,41,-0.07402324693600039
UQCRFS1,UQCRFS1_1,IFNγ,50,-0.5740454020535587
TIMP1,TIMP1_1,IFNγ,67,-0.4940427277564976
SDC3,SDC3_3,IFNγ,82,-2.3234820672612546
RNASEH2A,RNASEH2A_1,IFNγ,51,-1.5988084511665301
NOLC1,NOLC1_1,IFNγ,22,-0.3329005882157754
FBXO32,FBXO32_1,IFNγ,88,-0.25892826302629474
CDKN2A,CDKN2A_3,IFNγ,57,0.15304419363237223
PFDN4,PFDN4_3,IFNγ,82,-0.14725251926159721
CD151,CD151_3,IFNγ,60,-0.43786623587277024
TIMM50,TIMM50_2,IFNγ,20,-1.1324291534522017
XAGE1A,XAGE1A_2,IFNγ,45,-0.12095424090673641
RB1,RB1_1,IFNγ,96,-1.2147107440661207
CD151,CD151_1,IFNγ,76,-1.3892593786850584
CCND1,CCND1_2,IFNγ,47,-0.7146684230625622
FOXM1,FOXM1_2,IFNγ,14,0.06795425075812714
MDH2,MDH2_3,IFNγ,52,-1.1132920159357378
ACTA2,ACTA2_3,IFNγ,95,-1.4680977773090385
XAGE1A,XAGE1A_1,IFNγ,58,-0.12095424090673641
RNF213,RNF213_1,IFNγ,67,-0.4745683039032169
DDX17,DDX17_1,IFNγ,37,-0.28157170378422
APOE,APOE_3,IFNγ,68,0.26158272903137475
CSPG4,CSPG4_2,IFNγ,87,-0.2538665588497201
CITED1,CITED1_1,IFNγ,75,-0.41394584804343737
HLA-C,HLA-C_3,IFNγ,53,-1.6941426961642376
CTSB,CTSB_1,IFNγ,70,-1.1367585666575408
BZW2,BZW2_1,IFNγ,57,-1.2859339646953654
LY96,LY96_3,IFNγ,56,-0.22323154106630863
GSN,GSN_3,IFNγ,61,-1.9536612488803375
EMP1,EMP1_2,IFNγ,66,-1.3887349435367426
PROS1,PROS1_2,IFNγ,58,-0.7077647826097149
RRS1,RRS1_1,IFNγ,27,-0.07794897173740237
MRPL47,MRPL47_2,IFNγ,55,-0.9648968539082388
ILF2,ILF2_2,IFNγ,14,-1.0790316530319988
ATP1B1,ATP1B1_1,IFNγ,81,-1.1443712312858458
CGAS,CGAS_1,IFNγ,88,-1.516614187573361
SLC26A2,SLC26A2_3,IFNγ,92,-1.4900081148555142
ISYNA1,ISYNA1_3,IFNγ,55,-0.6382613969078234
GPNMB,GPNMB_1,IFNγ,78,0.09584452570128436
SSR2,SSR2_2,IFNγ,72,-0.9059557759158886
CD274,CD274_1,IFNγ,84,-0.6405550355102793
NME1,NME1_3,IFNγ,63,-0.6905110817161433
C6orf226,C6orf226_2,IFNγ,88,-1.4912872913771171
SDCBP,SDCBP_3,IFNγ,73,-0.9106716380950672
FGFR1,FGFR1_3,IFNγ,104,-0.22010495979389003
CITED1,CITED1_2,IFNγ,66,-0.41394584804343737
CSPG4,CSPG4_1,IFNγ,112,-0.2538665588497201
PSMB8-AS1,PSMB8-AS1_2,IFNγ,72,-0.007623417316164831
PSMB8-AS1,PSMB8-AS1_1,IFNγ,72,-0.19677946714406752
NEAT1,NEAT1_1,IFNγ,68,0.030864508535932506
PPIA,PPIA_1,IFNγ,92,-0.5311650635050245
HSPA1A,HSPA1A_3,IFNγ,72,-1.6231554435046773
ST6GALNAC2,ST6GALNAC2_3,IFNγ,31,-0.14397413959181968
MFGE8,MFGE8_1,IFNγ,91,-0.94010086290442
SGK1,SGK1_2,IFNγ,67,-0.9146711205637585
SOX4,SOX4_1,IFNγ,64,-0.6410225502205533
IRF4,IRF4_2,IFNγ,74,-0.02501572118420657
MC1R,MC1R_1,IFNγ,84,0.23614094585671583
CYP27A1,CYP27A1_3,IFNγ,73,-1.3142419123102576
SPINT1,SPINT1_2,IFNγ,81,-0.5233305978562404
VDAC2,VDAC2_3,IFNγ,61,-1.4218294216215772
AEBP1,AEBP1_1,IFNγ,102,-2.786747765006525
CXCR4,CXCR4_3,IFNγ,51,-0.07378231726870879
LGALS3BP,LGALS3BP_2,IFNγ,31,-0.39310072165899235
JAK1,JAK1_2,IFNγ,95,-1.4095543226844216
TAPBP,TAPBP_3,IFNγ,67,-1.0621126720546294
HLA-A,HLA-A_2,IFNγ,77,-0.8491578618304194
DDR1,DDR1_2,IFNγ,68,-1.312445375576306
TSC22D3,TSC22D3_2,IFNγ,79,0.5106602445908335
ST3GAL6-AS1,ST3GAL6-AS1_1,IFNγ,31,-0.5407814340458382
FMN1,FMN1_2,IFNγ,84,-0.5846242153355347
SDC3,SDC3_1,IFNγ,94,-0.6456644304337905
GPATCH4,GPATCH4_3,IFNγ,32,-0.8315196193875716
P2RX4,P2RX4_3,IFNγ,32,0.7534645966402952
WBP2,WBP2_2,IFNγ,93,-0.724971095022954
FBXO32,FBXO32_3,IFNγ,56,-0.9255422119310104
IDH2,IDH2_1,IFNγ,68,-2.01833120039358
STOM,STOM_2,IFNγ,79,-1.7817922109093036
GSN,GSN_1,IFNγ,76,-0.9600488083421883
SINHCAF,SINHCAF_2,IFNγ,44,-0.5820231901345256
CTPS1,CTPS1_2,IFNγ,48,-0.760046054588057
DAG1,DAG1_2,IFNγ,64,-2.852221386080991
SERPINA3,SERPINA3_2,IFNγ,74,-0.04960506308996055
ATP5MD,ATP5MD_1,IFNγ,89,-0.3929489992383576
TIMM50,TIMM50_3,IFNγ,75,-0.6633651575280497
APOE,APOE_2,IFNγ,87,-1.6394926789582047
PTMA,PTMA_2,IFNγ,68,-1.6320572390591745
SHMT2,SHMT2_3,IFNγ,78,-0.13048195936309634
SLC5A3,SLC5A3_3,IFNγ,83,-0.22759171022380786
CTSL,CTSL_2,IFNγ,56,-1.4879414735819625
SAT1,SAT1_2,IFNγ,76,-0.01772383853071308
GPI,GPI_3,IFNγ,12,-0.5475769506686601
SDC3,SDC3_2,IFNγ,94,0.28946700939915243
TRIM22,TRIM22_3,IFNγ,45,-0.23297822491584103
SERPINF1,SERPINF1_1,IFNγ,97,-0.18894047379150988
CD58,CD58_3,IFNγ,61,-1.0241585520245264
PUF60,PUF60_3,IFNγ,50,-1.1786596875370745
MDH2,MDH2_2,IFNγ,58,-0.9518262683139216
SMAD3,SMAD3_3,IFNγ,75,-0.4335689694874191
CDK6,CDK6_3,IFNγ,30,-1.2459268100962997
LY96,LY96_2,IFNγ,69,-1.0832860846916623
KLF4,KLF4_2,IFNγ,59,0.4002750194733334
SP100,SP100_2,IFNγ,71,-0.8603835678236395
LCP1,LCP1_3,IFNγ,77,-0.632243137297605
LCP1,LCP1_2,IFNγ,111,-1.932067045478103
GSEC,GSEC_2,IFNγ,98,-0.2810223238614681
MC1R,MC1R_3,IFNγ,54,0.4856761168281099
STX7,STX7_1,IFNγ,71,-1.3606559375655867
LRPAP1,LRPAP1_3,IFNγ,83,-1.1006392218857237
PPA1,PPA1_2,IFNγ,13,-1.323243621343979
CDK4,CDK4_1,IFNγ,63,-1.215866391072023
BOLA2,BOLA2_2,IFNγ,36,-0.0975610685547275
HLA-DRB5,HLA-DRB5_1,IFNγ,87,-0.07378231726870879
CCND1,CCND1_1,IFNγ,35,-1.9022696185691648
LAMP2,LAMP2_1,IFNγ,76,-0.9008068689175205
HLA-C,HLA-C_2,IFNγ,25,-1.7870864011217815
IFNGR1,IFNGR1_1,IFNγ,70,-1.7651400302075488
DNMT1,DNMT1_1,IFNγ,35,-0.9378242524354249
TM4SF1,TM4SF1_3,IFNγ,58,-0.6205658118372744
KLF4,KLF4_3,IFNγ,80,-0.6474588409398543
LRPAP1,LRPAP1_1,IFNγ,60,-2.29618966632005
HNRNPA1,HNRNPA1_2,IFNγ,65,-0.5144402334072177
LGALS3,LGALS3_1,IFNγ,62,-1.153255675807654
CTSL,CTSL_3,IFNγ,69,-1.3830233584108356
ATP5MD,ATP5MD_3,IFNγ,103,-0.889868247864875
CDKN2A,CDKN2A_1,IFNγ,57,0.2828077251305904
WBP2,WBP2_1,IFNγ,81,-0.7457385961224285
TGFB1,TGFB1_2,IFNγ,104,-2.32053716333649
KCNN4,KCNN4_3,IFNγ,104,-0.8440961125037881
JPT1,JPT1_2,IFNγ,16,0.0562949714930748
SOX4,SOX4_2,IFNγ,65,-0.027673777097109553
PET100,PET100_2,IFNγ,33,-0.16301997020404005
TIMP2,TIMP2_3,IFNγ,40,-0.4536450078012394
RPSA,RPSA_3,IFNγ,114,-0.2842485077766696
POLD2,POLD2_2,IFNγ,27,-1.2205522473300756
CCND1,CCND1_3,IFNγ,58,-0.963738837124858
IDH2,IDH2_2,IFNγ,73,-0.3705387225999628
JMJD7,JMJD7_3,IFNγ,66,0.0
NMRK1,NMRK1_1,IFNγ,65,-0.26225190889716143
FSTL3,FSTL3_1,IFNγ,104,-0.47201355035150544
NGFR,NGFR_2,IFNγ,78,-0.18894047379150988
TOP1MT,TOP1MT_2,IFNγ,55,-0.06653689955078801
SMAD4,SMAD4_3,IFNγ,98,-0.8905478364351267
EEA1,EEA1_3,IFNγ,43,-0.9367261095006473
JAK2,JAK2_1,IFNγ,75,-1.4385934355763428
STOM,STOM_1,IFNγ,95,-1.021898976493833
FOS,FOS_2,IFNγ,49,0.08795725590216613
SCARB2,SCARB2_2,IFNγ,58,-1.1264362134385708
TIMM50,TIMM50_1,IFNγ,21,-1.6940828729383308
TAPBPL,TAPBPL_3,IFNγ,70,-0.84107772558508
PROS1,PROS1_1,IFNγ,50,-1.6484919404713416
CCR10,CCR10_3,IFNγ,89,1.4864828782744361
ATP5MD,ATP5MD_2,IFNγ,49,-0.4723604104449291
EEF1G,EEF1G_3,IFNγ,10,-1.5041280747052992
NPC1,NPC1_3,IFNγ,88,-1.180467965599762
PRELID3B,PRELID3B_3,IFNγ,10,-0.6114512781108986
DDX39A,DDX39A_2,IFNγ,52,-1.344763328177434
MIA,MIA_3,IFNγ,78,-1.4217564313543574
HLA-E,HLA-E_2,IFNγ,78,-1.997236076366063
TPP1,TPP1_3,IFNγ,70,-0.6453890448448755
AGA,AGA_3,IFNγ,56,-1.697874396330297
CD274,CD274_2,IFNγ,110,-1.3914936786790584
CD58,CD58_2,IFNγ,82,-0.5169326704339247
CD47,CD47_3,IFNγ,103,-1.2825306395790967
HLA-DRB5,HLA-DRB5_2,IFNγ,126,0.7517830395309064
SP100,SP100_3,IFNγ,56,-1.6372963970117163
IDI2-AS1,IDI2-AS1_2,IFNγ,64,1.3245646349845615
RNF213,RNF213_2,IFNγ,43,-0.9134967816013566
KDR,KDR_3,IFNγ,77,-1.9254392243389358
