perturbation,condition,cpm_pert,cpm_ctrl,n_cells,self_log2fc
B2M,IFNγ,1480.6294964993365,3233.5729220341495,256,-1.1263905126652813
IDH2,IFNγ,6.881158098908046,21.12886192043864,227,-1.4894497081651465
GSEC,IFNγ,6.318763948671417,5.929374330321771,168,0.07887492133846338
STX7,IFNγ,8.93489144603276,17.68317831255254,227,-0.9111637928086056
HLA-F,IFNγ,15.461904517880148,26.90081923314125,229,-0.761176229245395
XAGE1A,IFNγ,0.0,0.08745389867731225,158,-0.12095424090673641
UCN2,IFNγ,2.904361130586466,3.043395673970467,192,-0.050480888179967716
GAA,IFNγ,2.605504701893785,4.652547409633011,211,-0.6486999639568085
CITED1,IFNγ,3.0293039719728796,0.3323248149737866,217,1.596584798921275
SP100,IFNγ,104.0781279814047,235.42589523932457,203,-1.1699256560831173
ST3GAL6-AS1,IFNγ,0.0,0.4547602731220237,223,-0.5407814340458382
TOP1MT,IFNγ,10.895125339337758,16.45882373107017,192,-0.553585888690062
FMN1,IFNγ,9.891926894094748,12.051147237733629,276,-0.260917425642646
NMRK1,IFNγ,12.554757575164079,14.552328739904759,211,-0.19833130856339487
TGFB1,IFNγ,18.530471816696572,87.83869583149243,248,-2.185461411770089
HSPA1A,IFNγ,50.07339409280232,134.24173446967433,192,-1.4048965820256076
PSAP,IFNγ,59.39316384684123,85.477440567205,265,-0.5179385707809113
CCND2,IFNγ,0.0,0.0,207,0.0
FBXO32,IFNγ,22.33643794309327,31.868200678012585,232,-0.4941081144030157
NEAT1,IFNγ,430.2424497896169,480.3842654344762,196,-0.1586897882990881
APOD,IFNγ,0.0,0.08745389867731225,227,-0.12095424090673641
TIMM50,IFNγ,42.36369726704892,78.77847192852288,116,-0.8795117216885799
MDH2,IFNγ,107.33325402978258,209.06729017798267,155,-0.9553753744570525
SLC5A3,IFNγ,12.632038639601621,12.803250766358513,240,-0.01800674227854772
BOLA2,IFNγ,0.0,0.06996311894184981,130,-0.0975610685547275
HLA-A,IFNγ,595.185132636105,799.9583019811106,257,-0.425966739074553
SET,IFNγ,311.97851152886443,816.6095242892709,160,-1.3853483942135691
SLC22A18,IFNγ,5.657213462970044,10.319560043922847,306,-0.7658275521910225
TMEM173,IFNγ,1.5804995853822754,5.9118835505863085,205,-1.4214285127783937
TTLL1,IFNγ,0.44906119267060285,1.3292992598951463,251,-0.6847774836524831
